Brand,Model,Location,Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Price,Cat,Has_New_Price,New_Price_num,Power_Engine_Ratio
Nissan,Micra Diesel XV,Hyderabad,7,54000.0,Diesel,Manual,First,23,1461,63.1,1.6582280766035324,Standard,0,0.0,0.0431895961670089
Maruti,Alto K10 2010-2014 VXI,Hyderabad,6,54000.0,Petrol,Manual,Second,20,998,67.1,1.3217558399823195,Standard,0,0.0,0.06723446893787574
Honda,WRV i-VTEC VX,Kochi,1,37430.0,Petrol,Manual,First,17,1199,88.7,2.388762789235098,Standard,1,10.57,0.07397831526271893
Toyota,Innova 2.5 V Diesel 7-seater,Mumbai,12,170000.0,Diesel,Manual,Third,12,2494,102.0,1.6094379124341003,Large,0,0.0,0.0408981555733761
Renault,Duster 110PS Diesel RxZ Pack,Bangalore,6,62000.0,Diesel,Manual,First,19,1461,108.45,2.169053700369523,Standard,0,0.0,0.0742299794661191
Toyota,Corolla Altis G,Delhi,7,87615.0,Petrol,Manual,First,14,1798,138.1,2.0476928433652555,Standard,0,0.0,0.0768075639599555
Mahindra,Ssangyong Rexton RX7,Bangalore,6,72000.0,Diesel,Automatic,Second,11,2696,184.0,2.6026896854443837,Large,0,0.0,0.06824925816023739
Audi,A6 2.7 TDI,Kolkata,9,35000.0,Diesel,Automatic,First,12,2698,179.5,2.5257286443082556,Standard,0,0.0,0.06653076352853966
Volkswagen,Vento 1.6 Highline,Coimbatore,5,55431.0,Petrol,Manual,Second,16,1598,103.5,2.0769384114617173,Standard,1,12.33,0.06476846057571965
Maruti,Wagon R LXI BSIII,Jaipur,10,83816.0,Petrol,Manual,Second,14,1061,64.0,1.0473189942805592,Standard,0,0.0,0.060320452403393024
Maruti,Vitara Brezza ZDi Plus,Kochi,1,50075.0,Diesel,Manual,First,24,1248,88.5,2.2648832258100344,Standard,1,11.12,0.07091346153846154
Mahindra,KUV 100 mFALCON G80 K6 5str AW,Delhi,2,52000.0,Petrol,Manual,First,18,1198,82.0,1.766441661243765,Standard,0,0.0,0.06844741235392321
Mercedes-benz,M-Class ML 350 CDI,Pune,6,85000.0,Diesel,Automatic,First,11,2987,254.8,3.367295829986474,Standard,0,0.0,0.08530297957817208
Volkswagen,Polo Diesel Trendline 1.2L,Chennai,6,62000.0,Diesel,Manual,First,22,1199,73.9,1.791759469228055,Standard,0,0.0,0.06163469557964971
Maruti,Alto LXi,Delhi,11,90000.0,Petrol,Manual,Second,19,796,46.3,0.8109302162163288,Standard,0,0.0,0.05816582914572864
Tata,Nano LX SE,Kochi,5,19698.0,Petrol,Manual,First,25,624,37.5,0.9282193027394289,Standard,0,0.0,0.06009615384615385
Mahindra,KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2,22033.0,Diesel,Manual,First,25,1198,77.0,1.884034745337226,Large,0,0.0,0.0642737896494157
Hyundai,i20 Magna Optional 1.2,Kochi,5,35487.0,Petrol,Manual,First,18,1197,82.9,1.747459210331475,Standard,0,0.0,0.06925647451963242
Hyundai,Elantra 2.0 SX Option AT,Bangalore,5,46374.0,Petrol,Automatic,First,14,1999,149.92,2.2874714551839976,Standard,1,23.64,0.07499749874937468
Toyota,Corolla Altis G AT,Mumbai,3,52001.0,Petrol,Automatic,First,14,1798,138.03,2.4078456036515385,Standard,0,0.0,0.0767686318131257
Hyundai,Elantra CRDi,Ahmedabad,11,58005.0,Diesel,Manual,Second,14,1991,112.2,1.6582280766035324,Standard,0,0.0,0.056353591160221
Toyota,Innova Crysta 2.7 GX MT,Bangalore,7,70704.0,Petrol,Manual,First,11,2694,163.7,2.4807312783775197,Large,1,18.64,0.06076466221232368
Hyundai,Xcent 1.1 CRDi S,Jaipur,5,75000.0,Diesel,Manual,First,24,1120,71.0,1.5789787049493917,Standard,0,0.0,0.06339285714285714
Mahindra,Thar CRDe AC,Jaipur,7,75800.0,Diesel,Manual,Second,16,2498,105.0,1.8718021769015913,Large,0,0.0,0.042033626901521216
Audi,A4 2.0 TDI 177 Bhp Premium Plus,Kochi,4,13648.0,Diesel,Automatic,First,17,1968,174.33,3.110399348532117,Standard,0,0.0,0.08858231707317074
Maruti,Swift LDI,Delhi,5,52000.0,Diesel,Manual,First,22,1248,74.0,1.6582280766035324,Standard,0,0.0,0.05929487179487179
Maruti,Swift Ldi BSIV,Kolkata,5,53000.0,Diesel,Manual,First,17,1248,75.0,1.4586150226995167,Standard,0,0.0,0.06009615384615385
Maruti,Swift VDI,Delhi,6,65650.0,Diesel,Manual,First,28,1248,74.0,1.5789787049493917,Standard,0,0.0,0.05929487179487179
Hyundai,Grand i10 Sportz,Chennai,4,54000.0,Petrol,Manual,Third,18,1197,82.0,1.5260563034950494,Standard,0,0.0,0.06850459482038429
Volkswagen,Vento 2013-2015 1.6 Comfortline,Kolkata,4,39000.0,Petrol,Manual,First,15,1598,103.2,1.6074359097634274,Standard,0,0.0,0.06458072590738423
Renault,KWID RXT,Kochi,2,16542.0,Petrol,Manual,First,25,799,53.3,1.4586150226995167,Standard,0,0.0,0.06670838548185232
Hyundai,i10 Asta,Kolkata,9,32000.0,Petrol,Manual,First,20,1197,78.9,1.1216775615991057,Standard,0,0.0,0.06591478696741855
Nissan,X-Trail SLX AT,Hyderabad,9,121812.0,Diesel,Automatic,First,13,1995,147.6,2.169053700369523,Standard,0,0.0,0.07398496240601503
Maruti,Zen Estilo VXI BSIII,Hyderabad,9,39300.0,Petrol,Manual,First,18,998,67.1,1.1786549963416462,Standard,0,0.0,0.06723446893787574
Toyota,Innova Crysta 2.4 GX MT 8S,Mumbai,2,22000.0,Diesel,Manual,First,13,2393,147.8,2.8622008809294686,Large,1,19.34,0.06176347680735479
Ford,Figo Diesel Titanium,Bangalore,9,72000.0,Diesel,Manual,First,20,1399,68.0,1.3217558399823195,Standard,0,0.0,0.04860614724803431
Mercedes-benz,New C-Class C 200 CGI Avantgarde,Delhi,4,58000.0,Petrol,Automatic,First,11,1796,186.0,3.3214324131932926,Standard,0,0.0,0.10356347438752785
Mercedes-benz,New C-Class 200 CDI Classic,Pune,8,65000.0,Diesel,Manual,Second,15,2148,170.0,2.3978952727983707,Standard,0,0.0,0.07914338919925512
Tata,Indica V2 eLS,Chennai,3,170000.0,Diesel,Manual,First,25,1396,69.0,1.252762968495368,Standard,0,0.0,0.0494269340974212
Audi,A4 2.0 TDI Multitronic,Jaipur,7,65664.0,Diesel,Automatic,First,16,1968,140.0,2.6741486494265287,Standard,0,0.0,0.07113821138211382
Honda,City ZX CVT,Mumbai,12,63000.0,Petrol,Automatic,Second,16,1497,78.0,1.0473189942805592,Standard,0,0.0,0.052104208416833664
Maruti,Ertiga SHVS VDI,Pune,3,63000.0,Diesel,Manual,First,24,1248,88.5,2.21375387928743,Large,0,0.0,0.07091346153846154
Hyundai,Creta 1.4 E Plus Diesel,Mumbai,1,13000.0,Diesel,Manual,First,22,1396,88.7,2.4423470353692043,Standard,1,11.81,0.06353868194842408
Other_Luxury,Cayenne 2009-2014 Turbo,Mumbai,11,73000.0,Petrol,Automatic,First,8,4806,500.0,2.740840023925201,Standard,0,0.0,0.10403662089055347
Mahindra,XUV500 W8 4WD,Mumbai,4,55729.0,Diesel,Manual,First,15,2179,140.0,2.365559892155434,Large,0,0.0,0.06424965580541533
Hyundai,i10 Sportz 1.2 AT,Kochi,7,45178.0,Petrol,Automatic,First,16,1197,78.9,1.4996230464268938,Standard,0,0.0,0.06591478696741855
Nissan,Terrano XV D Pre,Kochi,4,56066.0,Diesel,Manual,First,19,1461,108.5,2.0693912058263346,Standard,1,16.65,0.07426420260095824
Honda,Brio VX AT,Coimbatore,3,37300.0,Petrol,Automatic,Second,16,1198,86.8,2.0095554142156695,Standard,0,0.0,0.07245409015025041
Audi,A6 2.0 TDI Design Edition,Delhi,5,56000.0,Diesel,Automatic,Second,18,1968,187.74,3.417726683613366,Standard,0,0.0,0.09539634146341464
Toyota,Innova 2.0 G1,Chennai,13,170000.0,Petrol,Manual,Third,12,1998,132.0,1.7047480922384253,Large,0,0.0,0.06606606606606606
Toyota,Innova 2.5 VX 7 STR BSIV,Hyderabad,7,104000.0,Diesel,Manual,First,12,2494,102.0,2.545531271604435,Large,0,0.0,0.0408981555733761
Maruti,Swift VDI,Jaipur,7,95100.0,Diesel,Manual,First,22,1248,74.0,1.55814461804655,Standard,0,0.0,0.05929487179487179
Tata,Zest Revotron 1.2T XE,Pune,2,70000.0,Petrol,Manual,First,17,1193,88.7,1.7047480922384253,Standard,1,6.67,0.07435037720033529
Honda,Amaze SX i-VTEC,Kochi,3,54944.0,Petrol,Manual,First,18,1198,86.7,1.7613002617433464,Standard,0,0.0,0.07237061769616027
Ford,Figo Diesel ZXI,Hyderabad,7,70337.0,Diesel,Manual,First,20,1399,68.0,1.33500106673234,Standard,0,0.0,0.04860614724803431
Maruti,Ritz VDi,Jaipur,6,99638.0,Diesel,Manual,First,23,1248,73.94,1.4134230285081433,Standard,0,0.0,0.05924679487179487
Honda,City i VTEC E,Delhi,10,52000.0,Petrol,Manual,First,17,1497,117.3,1.4469189829363254,Standard,0,0.0,0.0783567134268537
Bmw,5 Series 2003-2012 525d,Delhi,8,75000.0,Diesel,Automatic,Second,16,1995,218.0,2.7013612129514133,Standard,0,0.0,0.10927318295739348
Hyundai,i10 Sportz 1.2,Pune,10,95980.0,Petrol,Manual,First,20,1197,78.9,1.1786549963416462,Standard,0,0.0,0.06591478696741855
Hyundai,Grand i10 Sportz,Bangalore,3,16000.0,Petrol,Manual,First,18,1197,82.0,1.9095425048844386,Standard,0,0.0,0.06850459482038429
Honda,Amaze SX i-VTEC,Mumbai,3,18949.0,Petrol,Manual,First,17,1198,86.7,1.791759469228055,Standard,0,0.0,0.07237061769616027
Toyota,Fortuner 4x2 Manual,Delhi,5,107000.0,Diesel,Manual,First,13,2982,168.5,2.8622008809294686,Large,0,0.0,0.05650570087189805
Audi,A6 2011-2015 35 TDI Premium,Coimbatore,1,48367.0,Diesel,Automatic,First,17,1968,174.33,3.7032753343976688,Standard,0,0.0,0.08858231707317074
Ford,Ecosport 1.5 DV5 MT Titanium Optional,Delhi,6,57000.0,Diesel,Manual,First,22,1498,89.84,1.8718021769015913,Standard,0,0.0,0.05997329773030708
Mahindra,XUV500 W8 2WD,Delhi,5,58000.0,Diesel,Manual,First,15,2179,140.0,2.2082744135228043,Large,0,0.0,0.06424965580541533
Honda,Amaze SX i-DTEC,Kolkata,4,30000.0,Diesel,Manual,First,25,1498,98.6,1.5040773967762742,Standard,0,0.0,0.06582109479305741
Volkswagen,Polo Diesel Highline 1.2L,Kolkata,6,34212.0,Diesel,Manual,First,22,1199,73.9,1.332366019094335,Standard,0,0.0,0.06163469557964971
Hyundai,Verna Transform SX VGT CRDi,Ahmedabad,9,70002.0,Diesel,Manual,First,16,1493,110.0,1.4929040961781488,Standard,0,0.0,0.07367716008037509
Maruti,Wagon R VXI BS IV,Bangalore,3,62000.0,Petrol,Manual,First,18,998,67.1,1.6956156086751528,Standard,0,0.0,0.06723446893787574
Volkswagen,Polo Petrol Highline 1.6L,Delhi,9,62001.0,Petrol,Manual,First,15,1598,103.5,1.2947271675944,Standard,0,0.0,0.06476846057571965
Hyundai,i20 1.4 CRDi Sportz,Pune,8,78958.0,Diesel,Manual,Second,23,1396,90.0,1.5686159179138452,Standard,0,0.0,0.06446991404011461
Hyundai,i20 Asta 1.2,Mumbai,5,30180.0,Petrol,Manual,First,18,1197,82.85,1.7316555451583497,Standard,0,0.0,0.06921470342522974
Other,GO Plus T Petrol,Pune,2,32851.0,Petrol,Manual,First,19,1198,67.0,1.599387576580599,Large,1,6.45,0.055926544240400666
Audi,A4 3.0 TDI Quattro Premium,Kolkata,9,30000.0,Diesel,Automatic,First,14,2967,241.4,2.379546134130174,Standard,0,0.0,0.08136164475901585
Hyundai,i20 2015-2017 Asta,Pune,10,66000.0,Petrol,Manual,Second,17,1197,80.0,1.308332819650179,Standard,0,0.0,0.06683375104427736
Maruti,Omni 5 Str STD,Coimbatore,9,93850.0,Petrol,Manual,First,14,796,35.0,1.2267122912954254,Standard,0,0.0,0.04396984924623116
Toyota,Etios Liva 1.2 G,Ahmedabad,5,53000.0,Petrol,Manual,First,17,1197,78.9,1.589235205116581,Standard,1,6.41,0.06591478696741855
Other_Luxury,XF 3.0 Litre S Premium Luxury,Hyderabad,8,78000.0,Diesel,Automatic,Second,14,2993,270.9,3.2188758248682006,Standard,0,0.0,0.09051119278316071
Mahindra,XUV500 W8 2WD,Delhi,7,65000.0,Diesel,Manual,Second,16,2179,140.0,1.9095425048844386,Large,0,0.0,0.06424965580541533
Hyundai,Verna 1.6 SX CRDI (O) AT,Kolkata,5,40000.0,Diesel,Automatic,First,22,1582,126.32,1.8325814637483102,Standard,0,0.0,0.07984829329962073
Toyota,Innova Crysta 2.8 ZX AT,Mumbai,2,30000.0,Diesel,Automatic,First,11,2755,171.5,3.0081547935525483,Large,1,27.0,0.062250453720508164
Maruti,Eeco 5 Seater AC,Coimbatore,2,38053.0,Petrol,Manual,First,15,1196,73.0,1.5912739418064292,Standard,1,5.13,0.061036789297658864
Tata,Nano Twist XT,Bangalore,5,25500.0,Petrol,Manual,First,25,624,37.5,1.1474024528375417,Standard,0,0.0,0.06009615384615385
Bmw,3 Series 320d Luxury Line,Mumbai,4,56087.0,Diesel,Automatic,First,22,1995,190.0,3.079613757534693,Standard,1,54.43,0.09523809523809523
Honda,Civic 2006-2010 1.8 V MT,Delhi,9,71088.0,Petrol,Manual,First,13,1799,130.0,1.4701758451005928,Standard,0,0.0,0.07226236798221233
Toyota,Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,5,55000.0,Diesel,Manual,First,12,2494,100.6,2.494031557565001,Large,0,0.0,0.04033680834001604
Other_Luxury,V40 Cross Country D3,Bangalore,5,32700.0,Diesel,Automatic,First,23,1984,150.0,3.044522437723423,Standard,0,0.0,0.07560483870967742
Nissan,Micra XV CVT,Coimbatore,3,39882.0,Petrol,Automatic,First,19,1198,75.94,2.0215475632609334,Standard,1,9.51,0.0633889816360601
Bmw,5 Series 2010-2013 525i,Mumbai,10,128000.0,Petrol,Automatic,First,10,2497,215.0,2.0794415416798357,Standard,0,0.0,0.08610332398878655
Maruti,Vitara Brezza VDi,Mumbai,3,55000.0,Diesel,Manual,First,24,1248,88.5,2.1400661634962708,Standard,1,9.96,0.07091346153846154
Mercedes-benz,B Class B200 CDI,Pune,5,53753.0,Diesel,Automatic,Second,15,2143,107.3,2.8763855159214247,Standard,0,0.0,0.050069995333644424
Hyundai,Verna CRDi 1.6 SX Option,Kolkata,1,10250.0,Diesel,Manual,First,22,1582,126.2,2.4807312783775197,Standard,1,14.44,0.0797724399494311
Maruti,Wagon R LXI BS IV,Pune,8,43874.0,Petrol,Manual,First,18,998,67.1,1.2383742310432684,Standard,0,0.0,0.06723446893787574
Tata,Nano XTA,Coimbatore,2,32684.0,Petrol,Automatic,First,21,624,37.48,1.4422019930581866,Standard,0,0.0,0.06006410256410256
Mahindra,Scorpio VLX,Kolkata,5,42000.0,Diesel,Manual,First,12,2179,120.0,2.169053700369523,Large,0,0.0,0.05507113354749885
Mercedes-benz,New C-Class 200 K AT,Kolkata,10,28352.0,Petrol,Automatic,First,11,1796,178.0,2.336986519711378,Standard,0,0.0,0.09910913140311804
Honda,CR-V 2.4 MT,Bangalore,12,47700.0,Petrol,Manual,Second,10,2354,152.0,1.8325814637483102,Standard,0,0.0,0.06457094307561598
Volkswagen,Vento 1.5 TDI Comfortline AT,Pune,4,55000.0,Diesel,Automatic,First,21,1498,103.2,2.1102132003465894,Standard,0,0.0,0.06889185580774367
Maruti,Ciaz VXi Plus,Kochi,2,44285.0,Petrol,Manual,First,20,1373,91.1,2.136530508663963,Standard,0,0.0,0.0663510560815732
Mahindra,XUV500 AT W10 FWD,Jaipur,3,54000.0,Diesel,Automatic,First,16,2179,140.0,2.6567569067146595,Large,0,0.0,0.06424965580541533
Maruti,Ritz VXI ABS,Coimbatore,3,30232.0,Petrol,Manual,First,21,1197,85.8,1.918392120161421,Standard,0,0.0,0.07167919799498747
Maruti,Alto K10 VXI,Hyderabad,5,88500.0,Petrol,Manual,First,24,998,67.1,1.2809338454620642,Standard,1,4.53,0.06723446893787574
Mercedes-benz,SLC 43 AMG,Kolkata,2,13372.0,Petrol,Automatic,First,19,2996,362.07,4.007333185232471,Sports,1,95.04,0.12085113484646194
Hyundai,Verna VTVT 1.6 AT SX Plus,Kochi,0,12645.0,Petrol,Automatic,First,17,1591,121.3,2.5257286443082556,Standard,1,13.49,0.07624135763670647
Maruti,Alto LXi BSIII,Chennai,9,94385.0,Petrol,Manual,Second,19,796,46.3,0.9555114450274363,Standard,0,0.0,0.05816582914572864
Bmw,1 Series 118d Base,Coimbatore,4,31821.0,Diesel,Automatic,First,20,1995,143.0,2.9025198918318122,Standard,0,0.0,0.07167919799498747
Honda,Jazz 1.2 V CVT i VTEC,Mumbai,4,12000.0,Petrol,Automatic,First,19,1199,88.7,1.9459101490553132,Standard,0,0.0,0.07397831526271893
Honda,Civic 2006-2010 1.8 V MT,Delhi,7,88578.0,Petrol,Manual,First,13,1799,130.0,1.599387576580599,Standard,0,0.0,0.07226236798221233
Mercedes-benz,New C-Class C 220 CDI Avantgarde,Kochi,5,44965.0,Diesel,Automatic,First,19,2143,170.0,2.9418039315284354,Standard,0,0.0,0.07932804479701354
Honda,Amaze SX i-DTEC,Kolkata,5,45044.0,Diesel,Manual,First,25,1498,98.6,1.547562508716013,Standard,0,0.0,0.06582109479305741
Maruti,Swift VVT VXI,Kochi,3,34204.0,Petrol,Manual,First,22,1197,81.8,1.860974538249528,Standard,0,0.0,0.0683375104427736
Toyota,Fortuner 3.0 Diesel,Coimbatore,7,91235.0,Diesel,Manual,First,11,2982,171.0,2.673458756332591,Large,0,0.0,0.05734406438631791
Chevrolet,Beat LT Option,Pune,5,38800.0,Petrol,Manual,First,18,1199,76.8,1.3480731482996928,Standard,0,0.0,0.0640533778148457
Skoda,Rapid 1.5 TDI Elegance,Chennai,6,83000.0,Diesel,Manual,First,21,1498,103.52,1.749199854809259,Standard,0,0.0,0.06910547396528705
Maruti,Ciaz 1.4 Alpha,Kochi,1,41283.0,Petrol,Manual,First,20,1373,91.1,2.388762789235098,Standard,0,0.0,0.0663510560815732
Audi,RS5 Coupe,Mumbai,6,23000.0,Petrol,Automatic,First,11,2894,444.0,3.6375861597263857,Standard,1,128.0,0.15342087076710437
Bmw,3 Series Luxury Line,Mumbai,5,48000.0,Diesel,Automatic,First,21,1995,190.0,3.3141860046725258,Standard,1,60.88,0.09523809523809523
Audi,A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,4,48214.0,Diesel,Automatic,First,17,1968,174.33,3.1912990570979662,Standard,0,0.0,0.08858231707317074
Maruti,Swift VDI,Chennai,3,35000.0,Diesel,Manual,First,22,1248,74.0,1.9810014688665833,Standard,0,0.0,0.05929487179487179
Mercedes-benz,S Class 2005 2013 S 500,Kolkata,9,35277.0,Petrol,Automatic,First,7,5461,362.9,3.4339872044851463,Standard,0,0.0,0.06645303058047976
Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,3,54620.0,Diesel,Automatic,First,21,1498,103.52,2.3850863145057892,Standard,0,0.0,0.06910547396528705
Skoda,Superb Elegance 2.0 TDI CR AT,Pune,7,136997.0,Diesel,Automatic,First,17,1968,138.1,2.2512917986064953,Standard,0,0.0,0.07017276422764228
Hyundai,EON Magna Plus,Kochi,0,14322.0,Petrol,Manual,First,21,814,55.2,1.6544112780768316,Standard,0,0.0,0.06781326781326781
Volkswagen,Polo Diesel Trendline 1.2L,Jaipur,7,65634.0,Diesel,Manual,First,22,1199,73.9,1.5040773967762742,Standard,0,0.0,0.06163469557964971
Other,GO NXT,Kolkata,3,6000.0,Petrol,Manual,First,20,1198,67.06,1.252762968495368,Standard,0,0.0,0.05597662771285476
Honda,Brio S MT,Kolkata,6,33280.0,Petrol,Manual,First,19,1198,86.8,1.220829921392359,Standard,0,0.0,0.07245409015025041
Mercedes-benz,B Class B180,Delhi,6,29000.0,Petrol,Automatic,First,14,1595,120.7,2.505525936990736,Standard,0,0.0,0.07567398119122257
Honda,City i DTEC V,Kochi,4,42831.0,Diesel,Manual,First,26,1498,98.6,2.093097868127322,Standard,0,0.0,0.06582109479305741
Toyota,Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,3,90000.0,Diesel,Manual,First,12,2494,100.6,2.4765384001174837,Large,0,0.0,0.04033680834001604
Maruti,Swift VXI Optional,Ahmedabad,2,24005.0,Petrol,Manual,First,20,1197,81.8,1.9740810260220096,Standard,0,0.0,0.0683375104427736
Mahindra,XUV500 W8 2WD,Mumbai,7,32792.0,Diesel,Manual,First,15,2179,140.0,2.186051276738094,Large,0,0.0,0.06424965580541533
Ford,Ecosport 1.5 DV5 MT Ambiente,Kochi,5,147898.0,Diesel,Manual,First,22,1498,89.84,1.6900958154515549,Standard,0,0.0,0.05997329773030708
Toyota,Fortuner 4x2 Manual,Mumbai,7,131765.0,Diesel,Manual,First,13,2982,168.5,2.6741486494265287,Large,0,0.0,0.05650570087189805
Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy,Chennai,6,65000.0,Diesel,Automatic,First,21,1498,108.5,1.9810014688665833,Standard,0,0.0,0.07242990654205607
Ford,Figo Diesel Titanium,Jaipur,9,66123.0,Diesel,Manual,Second,20,1399,68.0,1.1314021114911006,Standard,0,0.0,0.04860614724803431
Bmw,X5 xDrive 30d,Mumbai,4,41000.0,Diesel,Automatic,First,15,2993,258.0,3.828641396489095,Standard,0,0.0,0.08620113598396258
Mercedes-benz,New C-Class C 220 CDI Style,Coimbatore,2,23550.0,Diesel,Automatic,First,19,2143,167.62,3.54558628428746,Standard,0,0.0,0.07821745216985534
Honda,Brio V MT,Bangalore,7,45000.0,Petrol,Manual,Second,19,1198,86.8,1.536867219599265,Standard,0,0.0,0.07245409015025041
Hyundai,i10 Magna 1.2,Delhi,6,60000.0,Petrol,Manual,First,20,1197,78.9,1.3217558399823195,Standard,0,0.0,0.06591478696741855
Mercedes-benz,GLC 220,Bangalore,3,44414.0,Diesel,Automatic,First,17,2143,170.0,3.7727609380946383,Standard,0,0.0,0.07932804479701354
Hyundai,Grand i10 1.2 Kappa Asta,Kolkata,0,1000.0,Petrol,Manual,First,18,1197,81.86,2.0149030205422647,Standard,1,7.39,0.0683876357560568
Audi,A6 2011-2015 2.0 TDI Premium Plus,Mumbai,7,62500.0,Diesel,Automatic,Second,17,1968,174.33,2.995732273553991,Standard,0,0.0,0.08858231707317074
Volkswagen,Vento Petrol Highline AT,Mumbai,6,21000.0,Petrol,Automatic,Second,14,1598,103.6,1.6956156086751528,Standard,0,0.0,0.06483103879849812
Other,Countryman Cooper D,Jaipur,2,8525.0,Diesel,Automatic,Second,16,1998,112.0,3.1780538303479458,Standard,0,0.0,0.056056056056056056
Hyundai,i20 Asta 1.4 CRDi,Bangalore,5,29000.0,Diesel,Manual,First,22,1396,88.73,2.2353763433005955,Standard,0,0.0,0.06356017191977077
Audi,A6 2011-2015 2.0 TDI Premium Plus,Mumbai,5,40000.0,Diesel,Automatic,First,17,1968,174.33,3.175968323856924,Standard,0,0.0,0.08858231707317074
Chevrolet,Beat Diesel LT,Jaipur,7,88000.0,Diesel,Manual,First,25,936,57.6,0.9162907318741551,Standard,0,0.0,0.06153846153846154
Skoda,Superb Elegance 1.8 TSI AT,Kochi,7,53537.0,Petrol,Automatic,First,13,1798,157.75,2.065596134857783,Standard,0,0.0,0.08773637374860957
Ford,Fiesta 1.4 TDCi EXI Limited Edition,Chennai,13,170000.0,Diesel,Manual,Second,17,1399,68.0,0.8960880245566356,Standard,0,0.0,0.04860614724803431
Bmw,5 Series 520d Luxury Line,Hyderabad,5,51000.0,Diesel,Automatic,First,22,1995,190.0,3.5409593240373143,Standard,1,69.47,0.09523809523809523
