Brand,Model,Location,Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Honda,City,Delhi,10,52000.0,Petrol,Manual,First,17.8,1497,117.3,5,1.4469189829363254
BMW,5,Delhi,8,75000.0,Diesel,Automatic,Second,16.73,1995,218.0,5,2.7013612129514133
Hyundai,i10,Pune,10,95980.0,Petrol,Manual,First,20.36,1197,78.9,5,1.1786549963416462
Hyundai,Grand,Bangalore,3,16000.0,Petrol,Manual,First,18.9,1197,82.0,5,1.9095425048844383
Hyundai,Santro,Hyderabad,12,73745.0,Petrol,Manual,First,17.0,1086,97.7,5,1.1314021114911006
Honda,Amaze,Mumbai,3,18949.0,Petrol,Manual,First,17.8,1198,86.7,5,1.791759469228055
Toyota,Fortuner,Delhi,5,107000.0,Diesel,Manual,First,13.0,2982,168.5,7,2.8622008809294686
Audi,A6,Coimbatore,1,48367.0,Diesel,Automatic,First,17.68,1968,174.33,5,3.7032753343976688
Ford,Ecosport,Delhi,6,57000.0,Diesel,Manual,First,22.7,1498,89.84,5,1.8718021769015913
Mahindra,XUV500,Delhi,5,58000.0,Diesel,Manual,First,15.1,2179,140.0,7,2.2082744135228043
Honda,Amaze,Kolkata,4,30000.0,Diesel,Manual,First,25.8,1498,98.6,5,1.5040773967762742
Volkswagen,Polo,Kolkata,6,34212.0,Diesel,Manual,First,22.07,1199,73.9,5,1.332366019094335
Hyundai,Verna,Ahmedabad,9,70002.0,Diesel,Manual,First,16.2,1493,110.0,5,1.4929040961781488
Maruti,Wagon,Bangalore,3,62000.0,Petrol,Manual,First,18.9,998,67.1,5,1.6956156086751528
Volkswagen,Polo,Delhi,9,62001.0,Petrol,Manual,First,15.26,1598,103.5,5,1.2947271675944
Hyundai,i20,Pune,8,78958.0,Diesel,Manual,Second,23.0,1396,90.0,5,1.5686159179138452
Hyundai,i20,Mumbai,5,30180.0,Petrol,Manual,First,18.5,1197,82.85,5,1.7316555451583495
Other,Other,Pune,2,32851.0,Petrol,Manual,First,19.83,1198,67.0,7,1.599387576580599
Audi,A4,Kolkata,9,30000.0,Diesel,Automatic,First,14.94,2967,241.4,5,2.379546134130174
Hyundai,i20,Pune,10,66000.0,Petrol,Manual,Second,17.0,1197,80.0,5,1.308332819650179
Maruti,Omni,Coimbatore,9,93850.0,Petrol,Manual,First,14.0,796,35.0,5,1.2267122912954256
Toyota,Etios,Ahmedabad,5,53000.0,Petrol,Manual,First,17.71,1197,78.9,5,1.589235205116581
Other_Luxury,XF,Hyderabad,8,78000.0,Diesel,Automatic,Second,14.74,2993,270.9,5,3.2188758248682006
Mahindra,XUV500,Delhi,7,65000.0,Diesel,Manual,Second,16.0,2179,140.0,7,1.9095425048844383
Hyundai,Verna,Kolkata,5,40000.0,Diesel,Automatic,First,22.32,1582,126.32,5,1.8325814637483102
Toyota,Innova,Mumbai,2,30000.0,Diesel,Automatic,First,11.36,2755,171.5,7,3.0081547935525483
Maruti,Eeco,Coimbatore,2,38053.0,Petrol,Manual,First,15.1,1196,73.0,5,1.5912739418064292
Tata,Nano,Bangalore,5,25500.0,Petrol,Manual,First,25.4,624,37.5,4,1.1474024528375417
BMW,3,Mumbai,4,56087.0,Diesel,Automatic,First,22.69,1995,190.0,5,3.079613757534693
Honda,Civic,Delhi,9,71088.0,Petrol,Manual,First,13.5,1799,130.0,5,1.4701758451005928
Toyota,Innova,Ahmedabad,5,55000.0,Diesel,Manual,First,12.99,2494,100.6,7,2.494031557565001
Other_Luxury,Other,Bangalore,5,32700.0,Diesel,Automatic,First,23.3,1984,150.0,5,3.044522437723423
Nissan,Micra,Coimbatore,3,39882.0,Petrol,Automatic,First,19.15,1198,75.94,5,2.0215475632609334
BMW,5,Mumbai,10,128000.0,Petrol,Automatic,First,10.8,2497,215.0,5,2.0794415416798357
Maruti,Vitara,Mumbai,3,55000.0,Diesel,Manual,First,24.3,1248,88.5,5,2.1400661634962708
Hyundai,Santro,Mumbai,14,102000.0,Petrol,Manual,Second,17.0,1086,97.7,5,0.6151856390902335
Mercedes-Benz,B,Pune,5,53753.0,Diesel,Automatic,Second,15.0,2143,107.3,5,2.8763855159214247
Hyundai,Verna,Kolkata,1,10250.0,Diesel,Manual,First,22.0,1582,126.2,5,2.4807312783775197
Maruti,Wagon,Pune,8,43874.0,Petrol,Manual,First,18.9,998,67.1,5,1.2383742310432684
Tata,Nano,Coimbatore,2,32684.0,Petrol,Automatic,First,21.9,624,37.48,4,1.4422019930581866
Mahindra,Scorpio,Kolkata,5,42000.0,Diesel,Manual,First,12.05,2179,120.0,8,2.169053700369523
Mercedes-Benz,New,Kolkata,10,28352.0,Petrol,Automatic,First,11.7,1796,178.0,5,2.336986519711378
Honda,CR-V,Bangalore,12,47700.0,Petrol,Manual,Second,10.8,2354,152.0,5,1.8325814637483102
Volkswagen,Vento,Pune,4,55000.0,Diesel,Automatic,First,21.21,1498,103.2,5,2.1102132003465894
Maruti,Ciaz,Kochi,2,44285.0,Petrol,Manual,First,20.73,1373,91.1,5,2.136530508663963
Mahindra,XUV500,Jaipur,3,54000.0,Diesel,Automatic,First,16.0,2179,140.0,7,2.6567569067146595
Maruti,Ritz,Coimbatore,3,30232.0,Petrol,Manual,First,21.1,1197,85.8,5,1.918392120161421
Maruti,Alto,Hyderabad,5,88500.0,Petrol,Manual,First,24.07,998,67.1,5,1.2809338454620645
Mercedes-Benz,Other,Kolkata,2,13372.0,Petrol,Automatic,First,19.0,2996,362.07,2,4.007333185232471
Hyundai,Verna,Kochi,0,12645.0,Petrol,Automatic,First,17.0,1591,121.3,5,2.5257286443082556
Maruti,Alto,Chennai,9,94385.0,Petrol,Manual,Second,19.7,796,46.3,5,0.9555114450274365
BMW,Other,Coimbatore,4,31821.0,Diesel,Automatic,First,20.58,1995,143.0,5,2.9025198918318122
Honda,Jazz,Mumbai,4,12000.0,Petrol,Automatic,First,19.0,1199,88.7,5,1.9459101490553132
Honda,Civic,Delhi,7,88578.0,Petrol,Manual,First,13.5,1799,130.0,5,1.599387576580599
Mercedes-Benz,New,Kochi,5,44965.0,Diesel,Automatic,First,19.27,2143,170.0,5,2.9418039315284354
Honda,Amaze,Kolkata,5,45044.0,Diesel,Manual,First,25.8,1498,98.6,5,1.547562508716013
Maruti,Swift,Kochi,3,34204.0,Petrol,Manual,First,22.0,1197,81.8,5,1.860974538249528
Hyundai,Santro,Kochi,11,80759.0,Petrol,Manual,Third,17.0,1086,97.7,5,0.9820784724121581
Toyota,Fortuner,Coimbatore,7,91235.0,Diesel,Manual,First,11.5,2982,171.0,7,2.673458756332591
Chevrolet,Beat,Pune,5,38800.0,Petrol,Manual,First,18.6,1199,76.8,5,1.3480731482996928
Skoda,Rapid,Chennai,6,83000.0,Diesel,Manual,First,21.14,1498,103.52,5,1.749199854809259
Maruti,Ciaz,Kochi,1,41283.0,Petrol,Manual,First,20.73,1373,91.1,5,2.388762789235098
Audi,Other,Mumbai,6,23000.0,Petrol,Automatic,First,11.05,2894,444.0,4,3.6375861597263857
BMW,3,Mumbai,5,48000.0,Diesel,Automatic,First,21.76,1995,190.0,5,3.3141860046725258
Audi,A4,Coimbatore,4,48214.0,Diesel,Automatic,First,17.11,1968,174.33,5,3.1912990570979662
Maruti,Swift,Chennai,3,35000.0,Diesel,Manual,First,22.9,1248,74.0,5,1.9810014688665833
Mercedes-Benz,S,Kolkata,9,35277.0,Petrol,Automatic,First,7.81,5461,362.9,5,3.4339872044851463
Skoda,Rapid,Coimbatore,3,54620.0,Diesel,Automatic,First,21.66,1498,103.52,5,2.3850863145057892
Skoda,Superb,Pune,7,136997.0,Diesel,Automatic,First,17.2,1968,138.1,5,2.2512917986064953
Hyundai,EON,Kochi,0,14322.0,Petrol,Manual,First,21.1,814,55.2,5,1.6544112780768316
Volkswagen,Polo,Jaipur,7,65634.0,Diesel,Manual,First,22.07,1199,73.9,5,1.5040773967762742
Other,Other,Kolkata,3,6000.0,Petrol,Manual,First,20.63,1198,67.06,5,1.252762968495368
Honda,Brio,Kolkata,6,33280.0,Petrol,Manual,First,19.4,1198,86.8,5,1.220829921392359
Mercedes-Benz,B,Delhi,6,29000.0,Petrol,Automatic,First,14.8,1595,120.7,5,2.505525936990736
Honda,City,Kochi,4,42831.0,Diesel,Manual,First,26.0,1498,98.6,5,2.093097868127322
Toyota,Innova,Ahmedabad,3,90000.0,Diesel,Manual,First,12.99,2494,100.6,7,2.4765384001174837
Maruti,Swift,Ahmedabad,2,24005.0,Petrol,Manual,First,20.4,1197,81.8,5,1.9740810260220096
Mahindra,XUV500,Mumbai,7,32792.0,Diesel,Manual,First,15.1,2179,140.0,7,2.186051276738094
Ford,Ecosport,Kochi,5,147898.0,Diesel,Manual,First,22.7,1498,89.84,5,1.6900958154515549
Toyota,Fortuner,Mumbai,7,131765.0,Diesel,Manual,First,13.0,2982,168.5,7,2.6741486494265287
Volkswagen,Vento,Chennai,6,65000.0,Diesel,Automatic,First,21.5,1498,108.5,5,1.9810014688665833
Ford,Figo,Jaipur,9,66123.0,Diesel,Manual,Second,20.0,1399,68.0,5,1.1314021114911006
BMW,X5,Mumbai,4,41000.0,Diesel,Automatic,First,15.3,2993,258.0,5,3.828641396489095
Mercedes-Benz,New,Coimbatore,2,23550.0,Diesel,Automatic,First,19.27,2143,167.62,5,3.54558628428746
Honda,Brio,Bangalore,7,45000.0,Petrol,Manual,Second,19.4,1198,86.8,5,1.536867219599265
Hyundai,i10,Delhi,6,60000.0,Petrol,Manual,First,20.36,1197,78.9,5,1.3217558399823195
Mercedes-Benz,Other,Bangalore,3,44414.0,Diesel,Automatic,First,17.9,2143,170.0,5,3.7727609380946383
Hyundai,Grand,Kolkata,0,1000.0,Petrol,Manual,First,18.9,1197,81.86,5,2.0149030205422647
Audi,A6,Mumbai,7,62500.0,Diesel,Automatic,Second,17.68,1968,174.33,5,2.995732273553991
Volkswagen,Vento,Mumbai,6,21000.0,Petrol,Automatic,Second,14.4,1598,103.6,5,1.6956156086751528
Other_Luxury,Other,Jaipur,2,8525.0,Diesel,Automatic,Second,16.6,1998,112.0,5,3.1780538303479458
Hyundai,i20,Bangalore,5,29000.0,Diesel,Manual,First,22.54,1396,88.73,5,2.2353763433005955
Audi,A6,Mumbai,5,40000.0,Diesel,Automatic,First,17.68,1968,174.33,5,3.175968323856924
Chevrolet,Beat,Jaipur,7,88000.0,Diesel,Manual,First,25.44,936,57.6,5,0.9162907318741551
Skoda,Superb,Kochi,7,53537.0,Petrol,Automatic,First,13.7,1798,157.75,5,2.065596134857783
Ford,Fiesta,Chennai,13,170000.0,Diesel,Manual,Second,17.8,1399,68.0,5,0.8960880245566356
BMW,5,Hyderabad,5,51000.0,Diesel,Automatic,First,22.48,1995,190.0,5,3.5409593240373143
Chevrolet,Optra,Jaipur,12,118500.0,Petrol,Manual,First,12.9,1598,102.5,5,0.8109302162163288
Volkswagen,Polo,Hyderabad,7,63000.0,Diesel,Manual,First,22.07,1199,73.9,5,1.6486586255873816
Renault,Other,Mumbai,4,25000.0,Diesel,Manual,First,19.98,1461,108.5,8,2.0476928433652555
Mercedes-Benz,E-Class,Bangalore,5,37382.0,Diesel,Automatic,First,13.0,2143,201.1,5,3.4965075614664802
Maruti,Baleno,Kochi,2,24773.0,Petrol,Manual,First,21.4,1197,83.1,5,2.1400661634962708
Hyundai,Verna,Delhi,7,62000.0,Diesel,Manual,First,22.32,1582,126.32,5,1.7227665977411035
Hyundai,i10,Kochi,2,52340.0,Petrol,Manual,First,19.81,1086,68.05,5,1.6174060820832772
Mahindra,Scorpio,Kochi,3,56739.0,Diesel,Manual,First,15.4,1997,120.0,7,2.425687290128029
Other_Luxury,Rover,Coimbatore,1,36091.0,Diesel,Automatic,First,12.7,2179,187.7,5,4.038831852291842
Ford,Figo,Chennai,9,120000.0,Diesel,Manual,First,20.0,1399,68.0,5,1.2809338454620645
Maruti,Ertiga,Mumbai,3,33000.0,Diesel,Manual,First,25.47,1248,88.5,7,2.2512917986064953
Honda,City,Ahmedabad,12,60006.0,Petrol,Manual,First,18.2,1493,97.7,5,1.3737155789130306
Honda,Amaze,Kolkata,5,52000.0,Diesel,Manual,First,25.8,1498,98.6,5,1.5040773967762742
Hyundai,i10,Jaipur,4,43571.0,Petrol,Manual,First,20.36,1197,78.9,5,1.515127232962859
Honda,Amaze,Kolkata,6,50000.0,Diesel,Manual,First,25.8,1498,98.6,5,1.4469189829363254
Skoda,Laura,Hyderabad,11,113000.0,Diesel,Manual,First,17.5,1896,106.0,5,1.7047480922384253
Renault,Duster,Delhi,5,90000.0,Diesel,Manual,First,19.87,1461,83.8,5,1.8484548129046003
Mahindra,Other,Chennai,2,29000.0,Diesel,Manual,Second,17.45,1493,100.0,7,2.0149030205422647
Maruti,Vitara,Mumbai,3,20000.0,Diesel,Manual,First,24.3,1248,88.5,5,2.302585092994046
Hyundai,i20,Kochi,3,61012.0,Petrol,Manual,First,18.6,1197,81.83,5,1.9459101490553132
Skoda,Fabia,Jaipur,10,87459.0,Petrol,Manual,First,14.7,1390,85.0,5,1.3217558399823195
Tata,Indigo,Pune,9,70500.0,Petrol,Manual,First,15.64,1193,64.1,5,0.9162907318741551
Audi,Q3,Delhi,4,64103.0,Diesel,Automatic,First,15.73,1968,174.33,5,3.039749158970765
Skoda,Octavia,Mumbai,5,76000.0,Petrol,Automatic,First,14.7,1798,177.5,5,2.3978952727983707
Toyota,Etios,Delhi,5,104000.0,Diesel,Manual,First,23.59,1364,67.06,5,1.3862943611198906
Maruti,Swift,Kolkata,9,42001.0,Petrol,Manual,First,16.1,1493,97.7,5,1.1346227261911428
Mercedes-Benz,B,Kochi,5,37245.0,Petrol,Automatic,First,14.8,1595,120.7,5,2.561867690924129
Honda,Amaze,Kolkata,6,45000.0,Diesel,Manual,First,27.4,1498,98.6,5,1.4469189829363254
Hyundai,Verna,Jaipur,7,117837.0,Diesel,Manual,Second,22.32,1582,126.32,5,1.749199854809259
Renault,Duster,Mumbai,5,30000.0,Diesel,Manual,First,20.46,1461,83.8,5,1.9387416595767009
Hyundai,Creta,Delhi,4,27057.0,Petrol,Manual,Second,15.29,1591,121.3,5,2.21375387928743
Maruti,Wagon,Mumbai,3,8500.0,Petrol,Automatic,First,20.51,998,67.0,5,1.6524974018945473
Mercedes-Benz,New,Kolkata,9,30500.0,Petrol,Automatic,First,11.74,1796,186.0,5,2.4423470353692043
Audi,Other,Delhi,7,56000.0,Diesel,Automatic,First,11.8,2967,246.7,5,3.828641396489095
Hyundai,i10,Pune,7,44000.0,Petrol,Manual,Second,19.81,1086,68.05,5,1.3609765531356006
Skoda,Rapid,Mumbai,2,10500.0,Petrol,Automatic,First,14.3,1598,103.52,5,2.2925347571405443
Skoda,Superb,Hyderabad,2,26000.0,Petrol,Automatic,First,14.67,1798,177.46,5,3.295836866004329
Hyundai,i20,Coimbatore,1,25166.0,Petrol,Manual,First,17.19,1197,81.86,5,2.2213750375685026
Honda,Amaze,Kolkata,5,64000.0,Diesel,Manual,Second,25.8,1498,98.6,5,1.5040773967762742
Mahindra,Other,Hyderabad,6,107000.0,Diesel,Manual,First,21.03,1461,65.0,5,1.547562508716013
Mercedes-Benz,New,Coimbatore,1,29161.0,Diesel,Automatic,First,19.27,2143,167.62,5,3.6990772790903823
Maruti,Wagon,Kolkata,6,32000.0,Petrol,Manual,First,22.5,998,67.04,5,1.2947271675944
Nissan,Terrano,Coimbatore,4,46173.0,Diesel,Manual,Second,19.01,1461,108.5,5,2.2945529212967815
Maruti,Swift,Delhi,6,47000.0,Diesel,Manual,First,17.8,1248,97.7,5,1.62924053973028
Other_Luxury,Cooper,Kochi,2,26327.0,Petrol,Automatic,First,16.82,1998,189.08,4,3.6019589820832345
Ford,Figo,Bangalore,4,70436.0,Diesel,Manual,First,18.2,1498,99.0,5,1.5260563034950494
Tata,Indica,Jaipur,12,170000.0,Diesel,Manual,Second,17.2,1396,53.5,5,0.6151856390902335
Chevrolet,Beat,Kochi,3,60813.0,Petrol,Manual,Second,18.6,1199,76.8,5,1.463255402256019
Volkswagen,Polo,Mumbai,7,45000.0,Diesel,Manual,First,22.07,1199,73.9,5,1.5260563034950494
Maruti,Swift,Hyderabad,3,64000.0,Diesel,Manual,First,22.9,1248,74.0,5,2.0541237336955462
Ford,Figo,Kolkata,7,41284.0,Diesel,Manual,First,20.0,1399,68.05,5,1.252762968495368
Toyota,Innova,Kochi,0,14165.0,Diesel,Automatic,First,11.36,2755,171.5,7,3.027230940613362
Hyundai,Santa,Mumbai,8,67000.0,Diesel,Automatic,Second,11.72,2199,194.3,7,2.0794415416798357
Honda,City,Kolkata,8,32572.0,Petrol,Manual,First,17.4,1497,117.3,5,1.5830939370944985
Hyundai,i20,Kochi,1,14960.0,Petrol,Manual,First,18.6,1197,81.83,5,1.9837562915454279
Mercedes-Benz,New,Kochi,4,55980.0,Diesel,Automatic,First,19.27,2143,167.62,5,2.9507349076232554
Chevrolet,Beat,Mumbai,6,74000.0,Diesel,Manual,First,25.44,936,57.6,5,1.2947271675944
Hyundai,i20,Kochi,4,56847.0,Diesel,Manual,First,22.54,1396,88.73,5,2.1041341542702074
Toyota,Innova,Coimbatore,4,121374.0,Diesel,Manual,First,12.99,2494,100.6,7,2.72785282839839
Maruti,Ertiga,Chennai,6,52000.0,Diesel,Manual,First,20.77,1248,88.76,7,2.066862759472976
Toyota,Innova,Mumbai,5,118000.0,Diesel,Manual,First,12.8,2494,102.0,7,2.463853240590168
Hyundai,Santro,Mumbai,12,72000.0,Petrol,Manual,Third,17.0,1086,97.7,5,0.6678293725756554
Honda,City,Kochi,3,33915.0,Petrol,Manual,First,17.8,1497,117.3,5,2.2071749081893874
BMW,X1,Ahmedabad,5,82002.0,Diesel,Automatic,First,17.05,1995,184.0,5,2.970414465569701
Hyundai,Grand,Mumbai,2,33000.0,Diesel,Manual,First,24.0,1120,70.0,5,1.749199854809259
Maruti,Ciaz,Chennai,3,34000.0,Diesel,Manual,First,28.09,1248,88.5,5,2.2460147415056513
Skoda,Rapid,Kolkata,7,55000.0,Diesel,Manual,First,20.5,1598,103.6,5,1.5040773967762742
Hyundai,Accent,Kochi,13,160538.0,Diesel,Manual,First,13.1,1493,82.0,5,1.0296194171811583
Volkswagen,Polo,Jaipur,5,60000.0,Diesel,Manual,Second,19.91,1498,103.6,5,1.547562508716013
Honda,Jazz,Coimbatore,2,49575.0,Petrol,Manual,First,18.7,1199,88.7,5,2.1004689088719113
Hyundai,i10,Jaipur,9,83000.0,Petrol,Manual,First,19.81,1086,68.05,5,1.0116009116784799
