,Brand,Location,Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
93,Hyundai,Pune,8,78958.0,Diesel,Manual,Second,23,1396,90.0,5,,3.8
94,Hyundai,Mumbai,5,30180.0,Petrol,Manual,First,18,1197,82.85,5,,4.65
95,Other,Pune,2,32851.0,Petrol,Manual,First,19,1198,67.0,7,6.45 Lakh,3.95
96,Audi,Kolkata,9,30000.0,Diesel,Automatic,First,14,2967,241.4,5,,9.8
97,Hyundai,Pune,10,66000.0,Petrol,Manual,Second,17,1197,80.0,5,,2.7
98,Maruti,Coimbatore,9,93850.0,Petrol,Manual,First,14,796,35.0,5,,2.41
99,Toyota,Ahmedabad,5,53000.0,Petrol,Manual,First,17,1197,78.9,5,6.41 Lakh,3.9
100,Other_Luxury,Hyderabad,8,78000.0,Diesel,Automatic,Second,14,2993,270.9,5,,24.0
101,Mahindra,Delhi,7,65000.0,Diesel,Manual,Second,16,2179,140.0,7,,5.75
102,Hyundai,Kolkata,5,40000.0,Diesel,Automatic,First,22,1582,126.32,5,,5.25
103,Toyota,Mumbai,2,30000.0,Diesel,Automatic,First,11,2755,171.5,7,27 Lakh,19.25
104,Maruti,Coimbatore,2,38053.0,Petrol,Manual,First,15,1196,73.0,5,5.13 Lakh,3.91
105,Tata,Bangalore,5,25500.0,Petrol,Manual,First,25,624,37.5,4,,2.15
106,BMW,Mumbai,4,56087.0,Diesel,Automatic,First,22,1995,190.0,5,54.43 Lakh,20.75
107,Honda,Delhi,9,71088.0,Petrol,Manual,First,13,1799,130.0,5,,3.35
108,Toyota,Ahmedabad,5,55000.0,Diesel,Manual,First,12,2494,100.6,7,,11.11
109,Other_Luxury,Bangalore,5,32700.0,Diesel,Automatic,First,23,1984,150.0,5,,20.0
110,Nissan,Coimbatore,3,39882.0,Petrol,Automatic,First,19,1198,75.94,5,9.51 Lakh,6.55
111,BMW,Mumbai,10,128000.0,Petrol,Automatic,First,10,2497,215.0,5,,7.0
112,Maruti,Mumbai,3,55000.0,Diesel,Manual,First,24,1248,88.5,5,9.96 Lakh,7.5
113,Mercedes-Benz,Pune,5,53753.0,Diesel,Automatic,Second,15,2143,107.3,5,,16.75
114,Hyundai,Kolkata,1,10250.0,Diesel,Manual,First,22,1582,126.2,5,14.44 Lakh,10.95
115,Maruti,Pune,8,43874.0,Petrol,Manual,First,18,998,67.1,5,,2.45
116,Tata,Coimbatore,2,32684.0,Petrol,Automatic,First,21,624,37.48,4,,3.23
117,Mahindra,Kolkata,5,42000.0,Diesel,Manual,First,12,2179,120.0,8,,7.75
118,Mercedes-Benz,Kolkata,10,28352.0,Petrol,Automatic,First,11,1796,178.0,5,,9.35
119,Honda,Bangalore,12,47700.0,Petrol,Manual,Second,10,2354,152.0,5,,5.25
120,Volkswagen,Pune,4,55000.0,Diesel,Automatic,First,21,1498,103.2,5,,7.25
121,Maruti,Kochi,2,44285.0,Petrol,Manual,First,20,1373,91.1,5,,7.47
122,Mahindra,Jaipur,3,54000.0,Diesel,Automatic,First,16,2179,140.0,7,,13.25
123,Maruti,Coimbatore,3,30232.0,Petrol,Manual,First,21,1197,85.8,5,,5.81
124,Maruti,Hyderabad,5,88500.0,Petrol,Manual,First,24,998,67.1,5,4.53 Lakh,2.6
125,Mercedes-Benz,Kolkata,2,13372.0,Petrol,Automatic,First,19,2996,362.07,2,95.04 Lakh,54.0
126,Hyundai,Kochi,0,12645.0,Petrol,Automatic,First,17,1591,121.3,5,13.49 Lakh,11.5
127,Maruti,Chennai,9,94385.0,Petrol,Manual,Second,19,796,46.3,5,,1.6
128,BMW,Coimbatore,4,31821.0,Diesel,Automatic,First,20,1995,143.0,5,,17.22
129,Honda,Mumbai,4,12000.0,Petrol,Automatic,First,19,1199,88.7,5,,6.0
130,Honda,Delhi,7,88578.0,Petrol,Manual,First,13,1799,130.0,5,,3.95
131,Mercedes-Benz,Kochi,5,44965.0,Diesel,Automatic,First,19,2143,170.0,5,,17.95
132,Honda,Kolkata,5,45044.0,Diesel,Manual,First,25,1498,98.6,5,,3.7
133,Maruti,Kochi,3,34204.0,Petrol,Manual,First,22,1197,81.8,5,,5.43
134,Toyota,Coimbatore,7,91235.0,Diesel,Manual,First,11,2982,171.0,7,,13.49
135,Chevrolet,Pune,5,38800.0,Petrol,Manual,First,18,1199,76.8,5,,2.85
136,Skoda,Chennai,6,83000.0,Diesel,Manual,First,21,1498,103.52,5,,4.75
137,Maruti,Kochi,1,41283.0,Petrol,Manual,First,20,1373,91.1,5,,9.9
138,Audi,Mumbai,6,23000.0,Petrol,Automatic,First,11,2894,444.0,4,1.28 Cr,37.0
139,BMW,Mumbai,5,48000.0,Diesel,Automatic,First,21,1995,190.0,5,60.88 Lakh,26.5
140,Audi,Coimbatore,4,48214.0,Diesel,Automatic,First,17,1968,174.33,5,,23.32
141,Maruti,Chennai,3,35000.0,Diesel,Manual,First,22,1248,74.0,5,,6.25
142,Mercedes-Benz,Kolkata,9,35277.0,Petrol,Automatic,First,7,5461,362.9,5,,30.0
143,Skoda,Coimbatore,3,54620.0,Diesel,Automatic,First,21,1498,103.52,5,,9.86
144,Skoda,Pune,7,136997.0,Diesel,Automatic,First,17,1968,138.1,5,,8.5
145,Hyundai,Kochi,0,14322.0,Petrol,Manual,First,21,814,55.2,5,,4.23
146,Volkswagen,Jaipur,7,65634.0,Diesel,Manual,First,22,1199,73.9,5,,3.5
147,Other,Kolkata,3,6000.0,Petrol,Manual,First,20,1198,67.06,5,,2.5
148,Honda,Kolkata,6,33280.0,Petrol,Manual,First,19,1198,86.8,5,,2.39
149,Mercedes-Benz,Delhi,6,29000.0,Petrol,Automatic,First,14,1595,120.7,5,,11.25
150,Honda,Kochi,4,42831.0,Diesel,Manual,First,26,1498,98.6,5,,7.11
151,Toyota,Ahmedabad,3,90000.0,Diesel,Manual,First,12,2494,100.6,7,,10.9
152,Maruti,Ahmedabad,2,24005.0,Petrol,Manual,First,20,1197,81.8,5,,6.2
153,Mahindra,Mumbai,7,32792.0,Diesel,Manual,First,15,2179,140.0,7,,7.9
154,Ford,Kochi,5,147898.0,Diesel,Manual,First,22,1498,89.84,5,,4.42
155,Toyota,Mumbai,7,131765.0,Diesel,Manual,First,13,2982,168.5,7,,13.5
156,Volkswagen,Chennai,6,65000.0,Diesel,Automatic,First,21,1498,108.5,5,,6.25
157,Ford,Jaipur,9,66123.0,Diesel,Manual,Second,20,1399,68.0,5,,2.1
158,BMW,Mumbai,4,41000.0,Diesel,Automatic,First,15,2993,258.0,5,,45.0
159,Mercedes-Benz,Coimbatore,2,23550.0,Diesel,Automatic,First,19,2143,167.62,5,,33.66
160,Honda,Bangalore,7,45000.0,Petrol,Manual,Second,19,1198,86.8,5,,3.65
161,Hyundai,Delhi,6,60000.0,Petrol,Manual,First,20,1197,78.9,5,,2.75
162,Mercedes-Benz,Bangalore,3,44414.0,Diesel,Automatic,First,17,2143,170.0,5,,42.5
163,Hyundai,Kolkata,0,1000.0,Petrol,Manual,First,18,1197,81.86,5,7.39 Lakh,6.5
164,Audi,Mumbai,7,62500.0,Diesel,Automatic,Second,17,1968,174.33,5,,19.0
165,Volkswagen,Mumbai,6,21000.0,Petrol,Automatic,Second,14,1598,103.6,5,,4.45
166,Other,Jaipur,2,8525.0,Diesel,Automatic,Second,16,1998,112.0,5,,23.0
167,Hyundai,Bangalore,5,29000.0,Diesel,Manual,First,22,1396,88.73,5,,8.35
168,Audi,Mumbai,5,40000.0,Diesel,Automatic,First,17,1968,174.33,5,,22.95
169,Chevrolet,Jaipur,7,88000.0,Diesel,Manual,First,25,936,57.6,5,,1.5
170,Skoda,Kochi,7,53537.0,Petrol,Automatic,First,13,1798,157.75,5,,6.89
171,Ford,Chennai,13,170000.0,Diesel,Manual,Second,17,1399,68.0,5,,1.45
172,BMW,Hyderabad,5,51000.0,Diesel,Automatic,First,22,1995,190.0,5,69.47 Lakh,33.5
173,Chevrolet,Jaipur,12,118500.0,Petrol,Manual,First,12,1598,102.5,5,,1.25
174,Volkswagen,Hyderabad,7,63000.0,Diesel,Manual,First,22,1199,73.9,5,,4.2
175,Renault,Mumbai,4,25000.0,Diesel,Manual,First,19,1461,108.5,8,,6.75
176,Mercedes-Benz,Bangalore,5,37382.0,Diesel,Automatic,First,13,2143,201.1,5,,32.0
177,Maruti,Kochi,2,24773.0,Petrol,Manual,First,21,1197,83.1,5,8.78 Lakh,7.5
178,Hyundai,Delhi,7,62000.0,Diesel,Manual,First,22,1582,126.32,5,,4.6
179,Hyundai,Kochi,2,52340.0,Petrol,Manual,First,19,1086,68.05,5,,4.04
180,Mahindra,Kochi,3,56739.0,Diesel,Manual,First,15,1997,120.0,7,,10.31
181,Other_Luxury,Coimbatore,1,36091.0,Diesel,Automatic,First,12,2179,187.7,5,,55.76
182,Ford,Chennai,9,120000.0,Diesel,Manual,First,20,1399,68.0,5,,2.6
183,Maruti,Mumbai,3,33000.0,Diesel,Manual,First,25,1248,88.5,7,12.74 Lakh,8.5
184,Honda,Kolkata,5,52000.0,Diesel,Manual,First,25,1498,98.6,5,,3.5
185,Hyundai,Jaipur,4,43571.0,Petrol,Manual,First,20,1197,78.9,5,,3.55
186,Honda,Kolkata,6,50000.0,Diesel,Manual,First,25,1498,98.6,5,,3.25
187,Skoda,Hyderabad,11,113000.0,Diesel,Manual,First,17,1896,106.0,5,,4.5
188,Renault,Delhi,5,90000.0,Diesel,Manual,First,19,1461,83.8,5,,5.35
189,Mahindra,Chennai,2,29000.0,Diesel,Manual,Second,17,1493,100.0,7,10.52 Lakh,6.5
190,Maruti,Mumbai,3,20000.0,Diesel,Manual,First,24,1248,88.5,5,11.98 Lakh,9.0
191,Hyundai,Kochi,3,61012.0,Petrol,Manual,First,18,1197,81.83,5,,6.0
192,Skoda,Jaipur,10,87459.0,Petrol,Manual,First,14,1390,85.0,5,,2.75
193,Tata,Pune,9,70500.0,Petrol,Manual,First,15,1193,64.1,5,,1.5
194,Audi,Delhi,4,64103.0,Diesel,Automatic,First,15,1968,174.33,5,,19.9
195,Skoda,Mumbai,5,76000.0,Petrol,Automatic,First,14,1798,177.5,5,,10.0
196,Toyota,Delhi,5,104000.0,Diesel,Manual,First,23,1364,67.06,5,,3.0
197,Mercedes-Benz,Kochi,5,37245.0,Petrol,Automatic,First,14,1595,120.7,5,,11.96
198,Honda,Kolkata,6,45000.0,Diesel,Manual,First,27,1498,98.6,5,8.54 Lakh,3.25
199,Hyundai,Jaipur,7,117837.0,Diesel,Manual,Second,22,1582,126.32,5,,4.75
200,Renault,Mumbai,5,30000.0,Diesel,Manual,First,20,1461,83.8,5,,5.95
201,Hyundai,Delhi,4,27057.0,Petrol,Manual,Second,15,1591,121.3,5,,8.15
202,Maruti,Mumbai,3,8500.0,Petrol,Automatic,First,20,998,67.0,5,,4.22
203,Mercedes-Benz,Kolkata,9,30500.0,Petrol,Automatic,First,11,1796,186.0,5,,10.5
204,Audi,Delhi,7,56000.0,Diesel,Automatic,First,11,2967,246.7,5,,45.0
205,Hyundai,Pune,7,44000.0,Petrol,Manual,Second,19,1086,68.05,5,,2.9
206,Skoda,Mumbai,2,10500.0,Petrol,Automatic,First,14,1598,103.52,5,,8.9
207,Skoda,Hyderabad,2,26000.0,Petrol,Automatic,First,14,1798,177.46,5,33.58 Lakh,26.0
208,Hyundai,Coimbatore,1,25166.0,Petrol,Manual,First,17,1197,81.86,5,,8.22
209,Honda,Kolkata,5,64000.0,Diesel,Manual,Second,25,1498,98.6,5,,3.5
210,Mahindra,Hyderabad,6,107000.0,Diesel,Manual,First,21,1461,65.0,5,9.12 Lakh,3.7
211,Mercedes-Benz,Coimbatore,1,29161.0,Diesel,Automatic,First,19,2143,167.62,5,,39.41
212,Maruti,Kolkata,6,32000.0,Petrol,Manual,First,22,998,67.04,5,5.29 Lakh,2.65
213,Nissan,Coimbatore,4,46173.0,Diesel,Manual,Second,19,1461,108.5,5,,8.92
214,Other,Kochi,2,26327.0,Petrol,Automatic,First,16,1998,189.08,4,44.28 Lakh,35.67
215,Tata,Jaipur,12,170000.0,Diesel,Manual,Second,17,1396,53.5,5,,0.85
216,Chevrolet,Kochi,3,60813.0,Petrol,Manual,Second,18,1199,76.8,5,,3.32
217,Volkswagen,Mumbai,7,45000.0,Diesel,Manual,First,22,1199,73.9,5,,3.6
218,Maruti,Hyderabad,3,64000.0,Diesel,Manual,First,22,1248,74.0,5,,6.8
219,Ford,Kolkata,7,41284.0,Diesel,Manual,First,20,1399,68.05,5,,2.5
220,Toyota,Kochi,0,14165.0,Diesel,Automatic,First,11,2755,171.5,7,20.74 Lakh,19.64
221,Hyundai,Mumbai,8,67000.0,Diesel,Automatic,Second,11,2199,194.3,7,,7.0
222,Honda,Kolkata,8,32572.0,Petrol,Manual,First,17,1497,117.3,5,11.74 Lakh,3.87
223,Hyundai,Kochi,1,14960.0,Petrol,Manual,First,18,1197,81.83,5,,6.27
224,Mercedes-Benz,Kochi,4,55980.0,Diesel,Automatic,First,19,2143,167.62,5,,18.12
225,Chevrolet,Mumbai,6,74000.0,Diesel,Manual,First,25,936,57.6,5,,2.65
226,Hyundai,Kochi,4,56847.0,Diesel,Manual,First,22,1396,88.73,5,,7.2
227,Toyota,Coimbatore,4,121374.0,Diesel,Manual,First,12,2494,100.6,7,,14.3
228,Maruti,Chennai,6,52000.0,Diesel,Manual,First,20,1248,88.76,7,,6.9
229,Toyota,Mumbai,5,118000.0,Diesel,Manual,First,12,2494,102.0,7,,10.75
230,Honda,Kochi,3,33915.0,Petrol,Manual,First,17,1497,117.3,5,,8.09
231,BMW,Ahmedabad,5,82002.0,Diesel,Automatic,First,17,1995,184.0,5,,18.5
232,Hyundai,Mumbai,2,33000.0,Diesel,Manual,First,24,1120,70.0,5,,4.75
233,Maruti,Chennai,3,34000.0,Diesel,Manual,First,28,1248,88.5,5,,8.45
234,Skoda,Kolkata,7,55000.0,Diesel,Manual,First,20,1598,103.6,5,,3.5
235,Hyundai,Kochi,13,160538.0,Diesel,Manual,First,13,1493,82.0,5,,1.8
236,Volkswagen,Jaipur,5,60000.0,Diesel,Manual,Second,19,1498,103.6,5,,3.7
237,Honda,Coimbatore,2,49575.0,Petrol,Manual,First,18,1199,88.7,5,,7.17
238,Hyundai,Jaipur,9,83000.0,Petrol,Manual,First,19,1086,68.05,5,,1.75
239,Hyundai,Kochi,1,51346.0,Diesel,Automatic,First,16,1995,183.0,5,,21.99
240,Toyota,Pune,2,43000.0,Diesel,Manual,First,13,2393,147.8,7,25.52 Lakh,18.65
241,Maruti,Jaipur,8,35000.0,Petrol,Manual,Third,19,796,35.0,5,,1.85
242,Maruti,Coimbatore,2,27872.0,Petrol,Manual,Second,20,1197,81.8,5,,5.95
243,Hyundai,Mumbai,5,16514.0,Petrol,Manual,First,18,1197,82.0,5,,3.75
244,Maruti,Pune,7,120000.0,Diesel,Manual,First,22,1248,74.0,5,,3.75
245,Hyundai,Hyderabad,11,143275.0,Diesel,Manual,First,22,1582,126.2,5,14.07 Lakh,2.6
246,Hyundai,Mumbai,9,52000.0,Petrol,Manual,First,17,1197,80.0,5,,2.8
247,Mercedes-Benz,Coimbatore,2,29819.0,Diesel,Automatic,First,11,2987,254.79,5,95.13 Lakh,61.29
248,Mercedes-Benz,Bangalore,5,57000.0,Diesel,Manual,Second,15,2148,170.0,5,,18.0
249,Maruti,Hyderabad,5,88500.0,Diesel,Manual,First,23,1248,73.94,5,,4.35
250,Hyundai,Bangalore,3,28000.0,Diesel,Manual,First,19,1582,126.2,5,,13.75
251,Maruti,Pune,9,67000.0,Petrol,Manual,First,19,998,66.1,5,,2.0
252,Renault,Delhi,3,26000.0,Diesel,Manual,First,19,1461,108.45,5,,10.0
253,Other,Delhi,9,120000.0,Diesel,Manual,First,17,1248,76.0,5,,1.65
254,BMW,Coimbatore,2,51982.0,Diesel,Automatic,First,16,2993,258.0,5,,45.77
255,Hyundai,Bangalore,9,36000.0,Petrol,Manual,Second,20,1197,78.9,5,,3.25
256,Toyota,Pune,3,47000.0,Diesel,Manual,First,12,2494,102.0,7,,12.8
257,Maruti,Hyderabad,1,31025.0,Diesel,Manual,First,28,1248,74.0,5,,7.15
258,Mahindra,Pune,6,105000.0,Diesel,Manual,Second,12,2179,120.0,8,,7.0
259,Tata,Pune,2,121900.0,Diesel,Manual,First,22,1248,74.0,5,8.34 Lakh,3.75
260,Ford,Mumbai,2,22695.0,Petrol,Manual,First,18,999,123.24,5,,8.5
261,Maruti,Jaipur,7,73000.0,Diesel,Manual,First,23,1248,74.0,5,,4.35
262,Maruti,Kochi,3,32227.0,Petrol,Manual,First,22,796,47.3,5,,3.26
263,Honda,Jaipur,8,55000.0,Petrol,Manual,First,17,1497,118.0,5,,4.21
264,Audi,Kochi,1,11287.0,Diesel,Automatic,First,12,2967,241.4,7,,70.36
265,Skoda,Mumbai,10,48000.0,Diesel,Automatic,Second,17,1896,105.0,5,,2.95
266,Hyundai,Kochi,7,54308.0,Petrol,Manual,First,17,1591,121.3,5,,4.28
267,Honda,Jaipur,10,78442.0,Petrol,Automatic,First,16,1497,118.0,5,,3.57
268,Hyundai,Kolkata,6,46000.0,Diesel,Manual,First,21,1396,88.8,5,,3.11
269,Hyundai,Coimbatore,5,45051.0,Petrol,Automatic,First,15,1396,98.6,5,,5.96
270,Volkswagen,Hyderabad,8,69000.0,Diesel,Manual,First,20,1598,103.6,5,,4.7
271,Honda,Ahmedabad,5,49000.0,Petrol,Manual,First,17,1497,117.3,5,,6.9
272,Tata,Pune,1,45000.0,Diesel,Manual,First,22,1248,74.0,5,8.34 Lakh,5.25
273,BMW,Pune,4,64000.0,Diesel,Automatic,First,18,1995,177.0,5,,28.0
274,Maruti,Delhi,10,60000.0,Petrol,Manual,First,18,1061,67.0,5,,1.35
275,Honda,Delhi,4,62178.0,Petrol,Manual,First,18,1199,88.7,5,8.85 Lakh,4.85
276,Volkswagen,Coimbatore,7,58006.0,Diesel,Manual,First,15,1896,105.0,5,,6.7
277,Hyundai,Hyderabad,9,74000.0,Petrol,Manual,First,20,1197,78.9,5,,3.1
278,Mercedes-Benz,Kochi,4,77771.0,Diesel,Automatic,First,19,2143,170.0,5,,18.64
279,Hyundai,Pune,7,45275.0,Petrol,Manual,First,20,1197,78.9,5,,2.8
280,Toyota,Chennai,3,48000.0,Diesel,Manual,First,13,2393,147.8,7,25.4 Lakh,20.25
281,Audi,Kochi,4,31652.0,Diesel,Automatic,First,17,1968,174.33,5,,26.78
282,Toyota,Hyderabad,9,109000.0,Diesel,Manual,Second,12,2494,100.6,7,,8.26
